backend,ranks_str,seq_len,batch_size,max_rank_int,sum_rank_int,num_unique,median_ms,mean_ms,std_ms,bs_x_max_rank,sum_rank,tok_x_max_rank,tok_x_sum_rank,bs,max_rank,min_rank,mean_rank,total_tokens,var_rank,std_rank,rank_ratio,max_minus_min,bs_x_sum_rank,bs_x_mean_rank,bs_x_min_rank,sum_x_max_rank,tok_x_mean_rank,sqrt_bs_x_max_rank,sqrt_sum_rank,log1p_bs_x_max_rank,log1p_sum_rank,sum_rank_sq,max_rank_sq
csgmv,"[8, 8, 8, 8, 32, 32, 32, 32]",1.0,8,32,160,2,17.278064727783203,18.190659885406493,1.6824894795787808,256.0,160.0,256.0,160.0,8.0,32.0,8.0,20.0,8.0,144.0,12.0,4.0,24.0,1280.0,160.0,64.0,5120.0,160.0,16.0,12.649110640673518,5.54907608489522,5.081404364984463,25600.0,1024.0
csgmv,"[8, 8, 32, 32, 32, 32, 32, 32]",1.0,8,32,208,2,17.34864044189453,18.131247692108154,1.6091241150881452,256.0,208.0,256.0,208.0,8.0,32.0,8.0,26.0,8.0,108.0,10.392304845413264,4.0,24.0,1664.0,208.0,64.0,6656.0,208.0,16.0,14.422205101855956,5.54907608489522,5.342334251964811,43264.0,1024.0
csgmv,"[8, 8, 8, 8, 8, 8, 32, 32]",1.0,8,32,112,2,17.299967765808105,17.675032634735107,1.1136534732524546,256.0,112.0,256.0,112.0,8.0,32.0,8.0,14.0,8.0,108.0,10.392304845413264,4.0,24.0,896.0,112.0,64.0,3584.0,112.0,16.0,10.583005244258363,5.54907608489522,4.727387818712341,12544.0,1024.0
csgmv,"[8, 8, 8, 8, 64, 64, 64, 64]",1.0,8,64,288,2,17.605631828308105,18.275393028259277,1.5328567452929287,512.0,288.0,512.0,288.0,8.0,64.0,8.0,36.0,8.0,784.0,28.0,8.0,56.0,2304.0,288.0,64.0,18432.0,288.0,22.627416997969522,16.97056274847714,6.240275845170769,5.666426688112432,82944.0,4096.0
csgmv,"[8, 8, 64, 64, 64, 64, 64, 64]",1.0,8,64,400,2,17.62406349182129,18.35446207046509,1.5701562917267533,512.0,400.0,512.0,400.0,8.0,64.0,8.0,50.0,8.0,588.0,24.24871130596428,8.0,56.0,3200.0,400.0,64.0,25600.0,400.0,22.627416997969522,20.0,6.240275845170769,5.993961427306569,160000.0,4096.0
csgmv,"[8, 8, 8, 8, 8, 8, 64, 64]",1.0,8,64,176,2,17.54214382171631,17.83589921951294,1.0060367236999106,512.0,176.0,512.0,176.0,8.0,64.0,8.0,22.0,8.0,588.0,24.24871130596428,8.0,56.0,1408.0,176.0,64.0,11264.0,176.0,22.627416997969522,13.2664991614216,6.240275845170769,5.176149732573829,30976.0,4096.0
csgmv,"[16, 16, 16, 16, 32, 32, 32, 32]",1.0,8,32,192,2,17.284608840942383,17.834909744262696,1.4420024341633473,256.0,192.0,256.0,192.0,8.0,32.0,16.0,24.0,8.0,64.0,8.0,2.0,16.0,1536.0,192.0,128.0,6144.0,192.0,16.0,13.856406460551018,5.54907608489522,5.262690188904886,36864.0,1024.0
csgmv,"[16, 16, 32, 32, 32, 32, 32, 32]",1.0,8,32,224,2,17.371135711669922,18.24334442138672,1.6910644836462487,256.0,224.0,256.0,224.0,8.0,32.0,16.0,28.0,8.0,48.0,6.928203230275509,2.0,16.0,1792.0,224.0,128.0,7168.0,224.0,16.0,14.966629547095765,5.54907608489522,5.41610040220442,50176.0,1024.0
csgmv,"[16, 16, 16, 16, 16, 16, 32, 32]",1.0,8,32,160,2,17.3951997756958,18.100297832489012,1.5561259736078874,256.0,160.0,256.0,160.0,8.0,32.0,16.0,20.0,8.0,48.0,6.928203230275509,2.0,16.0,1280.0,160.0,128.0,5120.0,160.0,16.0,12.649110640673518,5.54907608489522,5.081404364984463,25600.0,1024.0
csgmv,"[16, 16, 16, 16, 64, 64, 64, 64]",1.0,8,64,320,2,17.590319633483887,17.929308948516844,1.1453413044286789,512.0,320.0,512.0,320.0,8.0,64.0,16.0,40.0,8.0,576.0,24.0,4.0,48.0,2560.0,320.0,128.0,20480.0,320.0,22.627416997969522,17.88854381999832,6.240275845170769,5.771441123130016,102400.0,4096.0
